"Method",        "Atlases","DSC","Reference","Validation","Dataset"
"LEAP"                    ,"30","0.848 (AD/MCI/CN)"     ,"\cite{Wolz2010}"  ,"Segmentation of 60 subjects","ADNI"
"ACM (AdaBoost-based)"    ,"21","0.862 (AD/MCI/CN)"     ,"\cite{Morra2008}" ,"LOOCV on atlases","ADNI"
"Patch-based label fusion","16","0.883 (CN), 0.838 (AD)","\cite{Coupe2011e}","LOOCV on atlases","ADNI"
"Multi-atlas"             ,"30","0.885"                 ,"\cite{Lotjonen2010}","Segmentation of 60 subjects","ADNI"
"Multi-atlas + weighted fusion","20","0.898 (CN), 0.798 (left HC, MCI)" ,"\cite{Wang2011}"  ,"10 rounds of Monte Carlo CV on 20 subjects, pool of 139 (CN/MCI)","ADNI"
"Multi-atlas (MAPS)"    ,"55","0.890 (AD/MCI/CN)"     ,"\cite{Leung2010}","Segmentation of 30 subjects (10 AD, MCI, and CN)","ADNI"
"----------------------",  ,"----------------------","----------------","--------","Separator"
"Probalistic atlas"       ,16,"0.860 (AD)"            ,"\cite{Chupin2009}","LOOCV","ADNI-ignore: no ADNI Kappa reported"
"Multi-atlas"             ,30,0.775,"\cite{Wolz2010}","Table 3","ADNI-ignore: stick to LEAP"
"Multi-atlas 2",30,0.82,"\cite{Wolz2010}",,"ADNI-ignore: stick to LEAP"
"Hierarchical structure of anatomical regions, and probabilistic spatial priors for specific labels, given to an EM segmentation-registration process.",17,0.81,"\cite{Pohl2007}","Requires: hierarchical structure, label prob. priors","Other"
"Multi-atlas segmentation with weighted fusion (atlas selection) using NMI similarity.","20 of 274",0.83,"\cite{Aljabar2009}","Top 20 (by NMI) chosen from pool of 274","Other"
"Multi-atlas segmentation with majority vote fusion.","29 of 30",0.83,"\cite{Heckemann2006}",,"Other"
,,0.86,"\cite{Barnes2008a}","AD patients","Other"
,,0.86,"\cite{Fischl2002}",,"Other"
"ML",,0.85,"\cite{Powell2008}",,"Other"
"graph cuts",20,0.86,"\cite{vanderLijn2008}","AD patients… mean SI of 0.825 can be obtained with only three training images. With 11 images... 0.850”","Other"
,,0.88,"\cite{Gousias2008}","2 yr olds","Other"
,80,0.89,"\cite{Collins2009}",,"Other"
