subject,atlases,label,k,se,sn,j
anusha,jon.mallar.nancy,1,0.7940298507,0.7474009553,0.9999511206,0.6584158416
anusha,jon.mallar.nancy,2,0.839835729,0.8105889015,0.9999570147,0.7238938053
anusha,jon.mallar.sofia,1,0.8171564262,0.773531891,0.9999567097,0.6908406524
anusha,jon.mallar.sofia,2,0.8544954394,0.8355039638,0.9999569131,0.7459555106
anusha,jon.sofia.nancy,1,0.8034188034,0.7527395336,0.9999562016,0.6714285714
anusha,jon.sofia.nancy,2,0.8447314353,0.8148357871,0.9999589455,0.731199187
anusha,mallar.nancy.sofia,1,0.818793911,0.7858949143,0.9999516287,0.6931846344
anusha,mallar.nancy.sofia,2,0.8438045375,0.8213476784,0.9999549823,0.7298113208
mallar,anusha.jon.nancy,1,0.7633329302,0.675224647,0.999956959,0.6172501467
mallar,anusha.jon.nancy,2,0.8254354976,0.7596412556,0.9999646071,0.7027587637
mallar,anusha.jon.sofia,1,0.7591817203,0.6788617886,0.9999498018,0.6118395681
mallar,anusha.jon.sofia,2,0.8181598063,0.7576233184,0.9999587246,0.6922761729
mallar,anusha.nancy.sofia,1,0.772540261,0.703038083,0.9999463703,0.6293813446
mallar,anusha.nancy.sofia,2,0.8344195028,0.7751121076,0.9999638228,0.7158832056
mallar,jon.sofia.nancy,1,0.7705917513,0.689559264,0.9999541157,0.6267989109
mallar,jon.sofia.nancy,2,0.8231869998,0.7609865471,0.9999615678,0.6995053586
nancy,anusha.jon.mallar,1,0.8110456097,0.7861654135,0.9999494055,0.6821503132
nancy,anusha.jon.mallar,2,0.8307783019,0.8276064611,0.9999440163,0.7105395865
nancy,anusha.jon.sofia,1,0.7969479913,0.7696240602,0.9999463119,0.6624385193
nancy,anusha.jon.sofia,2,0.8186543888,0.8093979442,0.9999429186,0.6929846618
nancy,anusha.mallar.sofia,1,0.7967083206,0.7861654135,0.9999378296,0.6621073961
nancy,anusha.mallar.sofia,2,0.8359260346,0.8364170338,0.9999440163,0.718103883
nancy,jon.mallar.sofia,1,0.8069527765,0.7888721805,0.9999448151,0.6763795771
nancy,jon.mallar.sofia,2,0.8285209193,0.8258443465,0.9999430184,0.7072434608
jon,anusha.mallar.nancy,1,0.8161993769,0.7873497424,0.9999505024,0.6894736842
jon,anusha.mallar.nancy,2,0.8136432403,0.7930294906,0.999941819,0.6858335265
jon,anusha.mallar.sofia,1,0.8061993048,0.7965082999,0.9999374294,0.6753215239
jon,anusha.mallar.sofia,2,0.8278398257,0.8147453083,0.9999428169,0.7062514525
jon,anusha.nancy.sofia,1,0.8125639153,0.7959358901,0.9999431176,0.6843011811
jon,anusha.nancy.sofia,2,0.8217672118,0.8016085791,0.9999444136,0.6974574294
jon,mallar.nancy.sofia,1,0.8133680556,0.8045220378,0.9999394253,0.685442575
jon,mallar.nancy.sofia,2,0.8155922039,0.8021447721,0.9999386255,0.6886075949
sofia,anusha.jon.mallar,1,0.8074175824,0.7457498097,0.9999583336,0.6770329417
sofia,anusha.jon.mallar,2,0.8530978413,0.8195529222,0.9999606262,0.7438279149
sofia,anusha.jon.nancy,1,0.8068479912,0.7414361837,0.9999604169,0.6762323536
sofia,anusha.jon.nancy,2,0.8444192313,0.8017775384,0.999962397,0.7307314678
sofia,anusha.mallar.nancy,1,0.8213030549,0.7708703375,0.9999563544,0.6967889908
sofia,anusha.mallar.nancy,2,0.8462291871,0.8144357662,0.9999572929,0.7334465195
sofia,jon.mallar.nancy,1,0.7963973799,0.7404212129,0.9999511461,0.6616780045
sofia,jon.mallar.nancy,2,0.8422837761,0.8025855104,0.9999601054,0.7275390625
